,movie_id,averagerating,numvotes
223,tt1706450,6.6,3321
224,tt1709653,5.6,602
225,tt1709657,8.1,75
226,tt1709714,6.7,75
227,tt1713439,6.0,9
228,tt1714206,7.1,133887
229,tt1715352,2.9,257
230,tt1716746,7.7,6
231,tt1717690,6.5,86
232,tt1717736,7.2,8
233,tt1719496,6.4,160
234,tt1719671,6.9,18
235,tt1720161,6.4,10
236,tt1720293,6.4,51
237,tt1721131,6.4,13
238,tt1721494,6.1,458
239,tt1721680,6.9,15
240,tt1725995,7.6,2309
241,tt1726589,5.6,7229
242,tt1726661,5.2,422
243,tt1727519,4.1,458
244,tt1728196,7.4,6636
245,tt1728217,4.6,668
246,tt1728986,5.5,7359
247,tt1729218,6.0,623
248,tt1729659,7.7,10
249,tt1733578,3.8,2280
250,tt1734163,7.5,147
251,tt1735350,4.2,232
252,tt1735485,5.9,18038
253,tt1735495,6.9,105
254,tt1735952,6.9,8
255,tt1736000,1.4,5
256,tt1737724,6.1,81
257,tt1740056,5.5,52
258,tt1740117,8.7,60
259,tt1740539,1.9,636
260,tt1740684,6.1,76
261,tt1745959,4.9,56
262,tt1748055,8.7,6
263,tt1748157,7.9,7
264,tt1748212,7.3,9
265,tt1753471,5.6,55
266,tt1753577,7.8,9
267,tt1753584,5.3,3526
268,tt1753602,7.8,18
269,tt1753728,7.9,8
270,tt1753780,7.8,11
271,tt1754602,7.8,5
272,tt1754649,5.5,13
273,tt1754750,4.8,158
274,tt1754950,6.2,5
275,tt1756828,3.4,9
276,tt1758611,8.7,15
277,tt1758741,6.4,13
278,tt1758842,5.6,41
279,tt1759727,7.3,18
280,tt1763217,6.3,289
281,tt1764164,6.2,6
282,tt1764311,5.9,24
283,tt1764500,7.6,8
284,tt1765868,8.8,5
285,tt1766009,5.4,24
286,tt1766044,7.0,468
287,tt1770757,4.2,8
288,tt1772275,3.6,7
289,tt1773528,7.8,9
290,tt1773607,7.7,19
291,tt1773790,6.0,8
292,tt1776201,5.3,427
293,tt1779471,7.8,156
294,tt1780934,7.8,10
295,tt1782562,6.7,14
296,tt1783311,6.1,799
297,tt1783377,7.0,848
298,tt1783384,6.8,37
299,tt1783392,5.0,447
300,tt1783393,7.0,87
301,tt1785525,7.9,9
302,tt1786411,6.9,16
303,tt1786652,8.0,27
304,tt1787047,5.8,19
305,tt1787741,4.2,12
306,tt1787777,6.9,3159
307,tt1789077,6.5,17
308,tt1791681,3.9,1890
309,tt1792647,6.8,7643
310,tt1792801,5.9,18
311,tt1793223,5.6,1969
312,tt1793290,6.5,6
313,tt1793296,6.1,8
314,tt1796580,7.5,42
315,tt1796652,7.5,1503
316,tt1797449,6.1,878
317,tt1798162,6.3,16
318,tt1798164,5.4,27
319,tt1801512,6.2,6
320,tt1802827,8.9,19
321,tt1808197,6.5,10445
322,tt1808208,4.0,425
323,tt1810756,4.4,10
324,tt1813152,8.6,7
325,tt1814768,7.6,16
326,tt1815605,4.3,9
327,tt1815707,6.9,65
328,tt1815836,6.9,240
329,tt1817711,6.3,56
330,tt0758752,6.7,167680
331,tt0775461,5.4,70
332,tt0800054,7.8,68
333,tt0800092,4.3,6
334,tt0816362,6.7,223
335,tt0825282,6.5,121
336,tt0960864,7.0,109
337,tt0978812,6.4,9
338,tt0979434,5.0,10042
339,tt0985694,6.6,182320
340,tt10062286,5.9,14
341,tt10075374,8.3,6
342,tt10174464,7.3,7
343,tt10243678,6.5,1394
344,tt10254986,7.0,15
345,tt6494520,4.3,12
346,tt6500762,6.0,25
347,tt6505826,5.5,130
348,tt6506146,5.0,670
349,tt6522546,6.8,7930
350,tt6523386,6.9,117
351,tt6547822,3.7,26
352,tt6555772,5.8,1826
353,tt6558114,4.8,221
354,tt6579530,4.8,28
355,tt6582734,6.4,68
